implementation,width,height,run,kernel_repetitions,l1_loads,l1_misses,llc_loads,llc_misses,checksum
row,64,64,1,9,1227744,52299,14515,4667,1992.227
row,64,64,2,9,1225258,52033,14595,3715,1992.227
row,64,64,3,9,1227806,51595,14580,3842,1992.227
row,181,181,1,9,3682061,107282,20390,4117,16273.180
row,181,181,2,9,3625093,98117,15454,3941,16273.180
row,181,181,3,9,3629798,98500,15737,3817,16273.180
row,1254,1254,1,9,135342084,2382484,121173,27829,785346.871
row,1254,1254,2,9,135335126,2390868,120398,30418,785346.871
row,1254,1254,3,9,135336647,2384819,119809,27212,785346.871
row,2048,2048,1,9,361100677,7215674,151569,81294,2094949.056
row,2048,2048,2,9,360908989,7214062,143495,73210,2094949.056
row,2048,2048,3,9,360922649,7220321,140409,71725,2094949.056
column,64,64,1,9,1226081,51597,14361,3772,1992.227
column,64,64,2,9,1227281,52142,14227,4093,1992.227
column,64,64,3,9,1227820,51826,14558,3771,1992.227
column,181,181,1,9,3631741,108282,19511,3787,16273.180
column,181,181,2,9,3632275,108182,17908,4107,16273.180
column,181,181,3,9,3627792,107356,17895,3871,16273.180
column,1254,1254,1,9,135524059,50864972,14716824,30783,785346.871
column,1254,1254,2,9,135515567,50827534,14660379,28592,785346.871
column,1254,1254,3,9,135550935,50870438,14816390,30820,785346.871
column,2048,2048,1,9,361701996,139166067,44366545,18053003,2094949.056
column,2048,2048,2,9,361806609,139115505,44405265,18244592,2094949.056
column,2048,2048,3,9,361680169,139157538,44403710,17796617,2094949.056
