implementation,width,height,run,time_ms,checksum
row,64,64,1,0.036,1992.227
row,64,64,2,0.025,1992.227
row,64,64,3,0.010,1992.227
row,64,64,4,0.017,1992.227
row,64,64,5,0.007,1992.227
row,64,64,6,0.010,1992.227
row,64,64,7,0.018,1992.227
row,64,64,8,0.029,1992.227
row,64,64,9,0.036,1992.227
row,181,181,1,0.298,16273.180
row,181,181,2,0.298,16273.180
row,181,181,3,0.298,16273.180
row,181,181,4,0.298,16273.180
row,181,181,5,0.298,16273.180
row,181,181,6,0.298,16273.180
row,181,181,7,0.298,16273.180
row,181,181,8,0.298,16273.180
row,181,181,9,0.298,16273.180
row,1254,1254,1,2.834,785346.871
row,1254,1254,2,2.693,785346.871
row,1254,1254,3,2.835,785346.871
row,1254,1254,4,2.831,785346.871
row,1254,1254,5,7.267,785346.871
row,1254,1254,6,2.774,785346.871
row,1254,1254,7,2.853,785346.871
row,1254,1254,8,2.798,785346.871
row,1254,1254,9,2.675,785346.871
row,2048,2048,1,8.375,2094949.056
row,2048,2048,2,8.322,2094949.056
row,2048,2048,3,8.208,2094949.056
row,2048,2048,4,8.166,2094949.056
row,2048,2048,5,8.165,2094949.056
row,2048,2048,6,8.180,2094949.056
row,2048,2048,7,8.124,2094949.056
row,2048,2048,8,8.187,2094949.056
row,2048,2048,9,8.272,2094949.056
column,64,64,1,0.006,1992.227
column,64,64,2,0.006,1992.227
column,64,64,3,0.006,1992.227
column,64,64,4,0.007,1992.227
column,64,64,5,0.008,1992.227
column,64,64,6,0.013,1992.227
column,64,64,7,0.036,1992.227
column,64,64,8,0.036,1992.227
column,64,64,9,0.036,1992.227
column,181,181,1,0.304,16273.180
column,181,181,2,0.308,16273.180
column,181,181,3,0.307,16273.180
column,181,181,4,0.307,16273.180
column,181,181,5,0.352,16273.180
column,181,181,6,0.345,16273.180
column,181,181,7,0.308,16273.180
column,181,181,8,0.306,16273.180
column,181,181,9,0.304,16273.180
column,1254,1254,1,14.249,785346.871
column,1254,1254,2,13.538,785346.871
column,1254,1254,3,13.356,785346.871
column,1254,1254,4,13.408,785346.871
column,1254,1254,5,13.400,785346.871
column,1254,1254,6,13.344,785346.871
column,1254,1254,7,13.417,785346.871
column,1254,1254,8,13.360,785346.871
column,1254,1254,9,13.326,785346.871
column,2048,2048,1,56.210,2094949.056
column,2048,2048,2,56.143,2094949.056
column,2048,2048,3,56.232,2094949.056
column,2048,2048,4,57.008,2094949.056
column,2048,2048,5,56.767,2094949.056
column,2048,2048,6,55.705,2094949.056
column,2048,2048,7,55.659,2094949.056
column,2048,2048,8,55.885,2094949.056
column,2048,2048,9,56.110,2094949.056
