version,width,height,run,time_ms,checksum
scalar-novec,64,64,1,0.036,1992.227
scalar-novec,64,64,2,0.007,1992.227
scalar-novec,64,64,3,0.009,1992.227
scalar-novec,64,64,4,0.018,1992.227
scalar-novec,64,64,5,0.050,1992.227
scalar-novec,64,64,6,0.036,1992.227
scalar-novec,64,64,7,0.036,1992.227
scalar-novec,64,64,8,0.036,1992.227
scalar-novec,64,64,9,0.036,1992.227
manual-avx,64,64,1,0.013,1992.227
manual-avx,64,64,2,0.013,1992.227
manual-avx,64,64,3,0.013,1992.227
manual-avx,64,64,4,0.013,1992.227
manual-avx,64,64,5,0.013,1992.227
manual-avx,64,64,6,0.013,1992.227
manual-avx,64,64,7,0.013,1992.227
manual-avx,64,64,8,0.013,1992.227
manual-avx,64,64,9,0.013,1992.227
auto-vector,64,64,1,0.010,1992.227
auto-vector,64,64,2,0.010,1992.227
auto-vector,64,64,3,0.011,1992.227
auto-vector,64,64,4,0.011,1992.227
auto-vector,64,64,5,0.010,1992.227
auto-vector,64,64,6,0.011,1992.227
auto-vector,64,64,7,0.011,1992.227
auto-vector,64,64,8,0.010,1992.227
auto-vector,64,64,9,0.010,1992.227
scalar-novec,181,181,1,0.315,16273.180
scalar-novec,181,181,2,0.300,16273.180
scalar-novec,181,181,3,0.300,16273.180
scalar-novec,181,181,4,0.199,16273.180
scalar-novec,181,181,5,0.199,16273.180
scalar-novec,181,181,6,0.199,16273.180
scalar-novec,181,181,7,0.265,16273.180
scalar-novec,181,181,8,0.265,16273.180
scalar-novec,181,181,9,0.265,16273.180
manual-avx,181,181,1,0.069,16273.180
manual-avx,181,181,2,0.068,16273.180
manual-avx,181,181,3,0.068,16273.180
manual-avx,181,181,4,0.069,16273.180
manual-avx,181,181,5,0.068,16273.180
manual-avx,181,181,6,0.068,16273.180
manual-avx,181,181,7,0.069,16273.180
manual-avx,181,181,8,0.069,16273.180
manual-avx,181,181,9,0.070,16273.180
auto-vector,181,181,1,0.056,16273.180
auto-vector,181,181,2,0.023,16273.180
auto-vector,181,181,3,0.019,16273.180
auto-vector,181,181,4,0.019,16273.180
auto-vector,181,181,5,0.019,16273.180
auto-vector,181,181,6,0.056,16273.180
auto-vector,181,181,7,0.056,16273.180
auto-vector,181,181,8,0.055,16273.180
auto-vector,181,181,9,0.055,16273.180
scalar-novec,1254,1254,1,3.151,785346.871
scalar-novec,1254,1254,2,2.696,785346.871
scalar-novec,1254,1254,3,2.771,785346.871
scalar-novec,1254,1254,4,2.750,785346.871
scalar-novec,1254,1254,5,2.700,785346.871
scalar-novec,1254,1254,6,5.795,785346.871
scalar-novec,1254,1254,7,3.077,785346.871
scalar-novec,1254,1254,8,2.669,785346.871
scalar-novec,1254,1254,9,2.713,785346.871
manual-avx,1254,1254,1,0.703,785346.871
manual-avx,1254,1254,2,0.697,785346.871
manual-avx,1254,1254,3,0.771,785346.871
manual-avx,1254,1254,4,0.706,785346.871
manual-avx,1254,1254,5,1.561,785346.871
manual-avx,1254,1254,6,0.782,785346.871
manual-avx,1254,1254,7,0.836,785346.871
manual-avx,1254,1254,8,0.847,785346.871
manual-avx,1254,1254,9,0.843,785346.871
auto-vector,1254,1254,1,0.871,785346.871
auto-vector,1254,1254,2,0.745,785346.871
auto-vector,1254,1254,3,0.841,785346.871
auto-vector,1254,1254,4,0.807,785346.871
auto-vector,1254,1254,5,0.812,785346.871
auto-vector,1254,1254,6,0.832,785346.871
auto-vector,1254,1254,7,0.732,785346.871
auto-vector,1254,1254,8,0.732,785346.871
auto-vector,1254,1254,9,0.739,785346.871
scalar-novec,2048,2048,1,8.500,2094949.056
scalar-novec,2048,2048,2,8.304,2094949.056
scalar-novec,2048,2048,3,8.474,2094949.056
scalar-novec,2048,2048,4,8.541,2094949.056
scalar-novec,2048,2048,5,8.353,2094949.056
scalar-novec,2048,2048,6,8.477,2094949.056
scalar-novec,2048,2048,7,8.484,2094949.056
scalar-novec,2048,2048,8,8.294,2094949.056
scalar-novec,2048,2048,9,8.499,2094949.056
manual-avx,2048,2048,1,2.138,2094949.056
manual-avx,2048,2048,2,2.130,2094949.056
manual-avx,2048,2048,3,2.132,2094949.056
manual-avx,2048,2048,4,2.122,2094949.056
manual-avx,2048,2048,5,2.175,2094949.056
manual-avx,2048,2048,6,2.155,2094949.056
manual-avx,2048,2048,7,2.167,2094949.056
manual-avx,2048,2048,8,2.156,2094949.056
manual-avx,2048,2048,9,2.181,2094949.056
auto-vector,2048,2048,1,2.250,2094949.056
auto-vector,2048,2048,2,1.900,2094949.056
auto-vector,2048,2048,3,1.961,2094949.056
auto-vector,2048,2048,4,2.183,2094949.056
auto-vector,2048,2048,5,1.858,2094949.056
auto-vector,2048,2048,6,2.023,2094949.056
auto-vector,2048,2048,7,1.919,2094949.056
auto-vector,2048,2048,8,1.850,2094949.056
auto-vector,2048,2048,9,1.940,2094949.056
