version,width,height,runs,median_ms,min_ms,max_ms,speedup_vs_scalar
scalar-novec,64,64,9,0.036,0.007,0.050,1.000
manual-avx,64,64,9,0.013,0.013,0.013,2.769
auto-vector,64,64,9,0.010,0.010,0.011,3.600
scalar-novec,181,181,9,0.265,0.199,0.315,1.000
manual-avx,181,181,9,0.069,0.068,0.070,3.841
auto-vector,181,181,9,0.055,0.019,0.056,4.818
scalar-novec,1254,1254,9,2.750,2.669,5.795,1.000
manual-avx,1254,1254,9,0.782,0.697,1.561,3.517
auto-vector,1254,1254,9,0.807,0.732,0.871,3.408
scalar-novec,2048,2048,9,8.477,8.294,8.541,1.000
manual-avx,2048,2048,9,2.155,2.122,2.181,3.934
auto-vector,2048,2048,9,1.940,1.850,2.250,4.370
