implementation,order,pass_percent,width,height,run,kernel_repetitions,branches,branch_misses,true_count
branch,grouped,5,2048,2048,1,20,180007861,37779,209715
branch,grouped,5,2048,2048,2,20,180009397,37803,209715
branch,grouped,5,2048,2048,3,20,180024716,38747,209715
branch,grouped,50,2048,2048,1,20,180963263,38490,2097152
branch,grouped,50,2048,2048,2,20,180973077,37859,2097152
branch,grouped,50,2048,2048,3,20,180886569,38416,2097152
branch,grouped,95,2048,2048,1,20,181900628,38589,3984588
branch,grouped,95,2048,2048,2,20,181842875,38758,3984588
branch,grouped,95,2048,2048,3,20,181829066,38034,3984588
branch,shuffled,5,2048,2048,1,20,205166866,4435683,209715
branch,shuffled,5,2048,2048,2,20,205208746,4436005,209715
branch,shuffled,5,2048,2048,3,20,205173727,4436325,209715
branch,shuffled,50,2048,2048,1,20,206325780,42000050,2097152
branch,shuffled,50,2048,2048,2,20,206389190,42010771,2097152
branch,shuffled,50,2048,2048,3,20,206325508,42004374,2097152
branch,shuffled,95,2048,2048,1,20,207175109,4372016,3984588
branch,shuffled,95,2048,2048,2,20,207234770,4370777,3984588
branch,shuffled,95,2048,2048,3,20,207173865,4371370,3984588
branchless,grouped,5,2048,2048,1,20,96138817,41881,209715
branchless,grouped,5,2048,2048,2,20,96121480,37684,209715
branchless,grouped,5,2048,2048,3,20,96119393,37112,209715
branchless,grouped,50,2048,2048,1,20,97116601,37561,2097152
branchless,grouped,50,2048,2048,2,20,97069191,37588,2097152
branchless,grouped,50,2048,2048,3,20,97058852,37314,2097152
branchless,grouped,95,2048,2048,1,20,98009720,37524,3984588
branchless,grouped,95,2048,2048,2,20,98075310,37604,3984588
branchless,grouped,95,2048,2048,3,20,98011546,37628,3984588
branchless,shuffled,5,2048,2048,1,20,121370968,62279,209715
branchless,shuffled,5,2048,2048,2,20,121351603,61957,209715
branchless,shuffled,5,2048,2048,3,20,121360868,61673,209715
branchless,shuffled,50,2048,2048,1,20,122310178,62855,2097152
branchless,shuffled,50,2048,2048,2,20,122307292,62104,2097152
branchless,shuffled,50,2048,2048,3,20,122317417,63074,2097152
branchless,shuffled,95,2048,2048,1,20,123209532,62042,3984588
branchless,shuffled,95,2048,2048,2,20,123208678,61605,3984588
branchless,shuffled,95,2048,2048,3,20,123208152,61762,3984588
