implementation,order,pass_percent,timing_runs,median_ms,min_ms,max_ms,speedup_vs_branch,perf_runs,kernel_repetitions,median_branches,median_branch_misses,median_branch_miss_rate_pct
branch,grouped,5,9,4.118,4.014,4.238,1.000,3,20,180009397,37803,0.021
branchless,grouped,5,9,3.162,3.086,3.284,1.302,3,20,96121480,37684,0.039
branch,grouped,50,9,4.398,4.369,4.553,1.000,3,20,180963263,38416,0.021
branchless,grouped,50,9,3.149,3.070,3.209,1.397,3,20,97069191,37561,0.039
branch,grouped,95,9,4.838,4.799,4.918,1.000,3,20,181842875,38589,0.021
branchless,grouped,95,9,3.181,3.118,3.240,1.521,3,20,98011546,37604,0.038
branch,shuffled,5,9,5.180,5.071,5.287,1.000,3,20,205173727,4436005,2.162
branchless,shuffled,5,9,3.067,3.007,3.268,1.689,3,20,121360868,61957,0.051
branch,shuffled,50,9,17.490,17.479,17.513,1.000,3,20,206325780,42004374,20.356
branchless,shuffled,50,9,3.075,3.007,3.442,5.688,3,20,122310178,62855,0.051
branch,shuffled,95,9,6.115,5.989,6.213,1.000,3,20,207175109,4371370,2.110
branchless,shuffled,95,9,3.024,2.999,3.086,2.022,3,20,123208678,61762,0.050
