implementation,order,pass_percent,width,height,run,time_ms,true_count
branch,grouped,5,2048,2048,1,4.099,209715
branch,grouped,5,2048,2048,2,4.118,209715
branch,grouped,5,2048,2048,3,4.238,209715
branch,grouped,5,2048,2048,4,4.201,209715
branch,grouped,5,2048,2048,5,4.080,209715
branch,grouped,5,2048,2048,6,4.202,209715
branch,grouped,5,2048,2048,7,4.014,209715
branch,grouped,5,2048,2048,8,4.069,209715
branch,grouped,5,2048,2048,9,4.139,209715
branch,grouped,50,2048,2048,1,4.369,2097152
branch,grouped,50,2048,2048,2,4.398,2097152
branch,grouped,50,2048,2048,3,4.388,2097152
branch,grouped,50,2048,2048,4,4.385,2097152
branch,grouped,50,2048,2048,5,4.421,2097152
branch,grouped,50,2048,2048,6,4.513,2097152
branch,grouped,50,2048,2048,7,4.488,2097152
branch,grouped,50,2048,2048,8,4.385,2097152
branch,grouped,50,2048,2048,9,4.553,2097152
branch,grouped,95,2048,2048,1,4.799,3984588
branch,grouped,95,2048,2048,2,4.879,3984588
branch,grouped,95,2048,2048,3,4.918,3984588
branch,grouped,95,2048,2048,4,4.893,3984588
branch,grouped,95,2048,2048,5,4.825,3984588
branch,grouped,95,2048,2048,6,4.837,3984588
branch,grouped,95,2048,2048,7,4.849,3984588
branch,grouped,95,2048,2048,8,4.830,3984588
branch,grouped,95,2048,2048,9,4.838,3984588
branch,shuffled,5,2048,2048,1,5.071,209715
branch,shuffled,5,2048,2048,2,5.180,209715
branch,shuffled,5,2048,2048,3,5.170,209715
branch,shuffled,5,2048,2048,4,5.278,209715
branch,shuffled,5,2048,2048,5,5.168,209715
branch,shuffled,5,2048,2048,6,5.244,209715
branch,shuffled,5,2048,2048,7,5.184,209715
branch,shuffled,5,2048,2048,8,5.177,209715
branch,shuffled,5,2048,2048,9,5.287,209715
branch,shuffled,50,2048,2048,1,17.490,2097152
branch,shuffled,50,2048,2048,2,17.513,2097152
branch,shuffled,50,2048,2048,3,17.480,2097152
branch,shuffled,50,2048,2048,4,17.482,2097152
branch,shuffled,50,2048,2048,5,17.492,2097152
branch,shuffled,50,2048,2048,6,17.509,2097152
branch,shuffled,50,2048,2048,7,17.487,2097152
branch,shuffled,50,2048,2048,8,17.496,2097152
branch,shuffled,50,2048,2048,9,17.479,2097152
branch,shuffled,95,2048,2048,1,6.213,3984588
branch,shuffled,95,2048,2048,2,6.173,3984588
branch,shuffled,95,2048,2048,3,6.119,3984588
branch,shuffled,95,2048,2048,4,6.115,3984588
branch,shuffled,95,2048,2048,5,6.111,3984588
branch,shuffled,95,2048,2048,6,5.989,3984588
branch,shuffled,95,2048,2048,7,6.065,3984588
branch,shuffled,95,2048,2048,8,6.121,3984588
branch,shuffled,95,2048,2048,9,6.114,3984588
branchless,grouped,5,2048,2048,1,3.086,209715
branchless,grouped,5,2048,2048,2,3.162,209715
branchless,grouped,5,2048,2048,3,3.284,209715
branchless,grouped,5,2048,2048,4,3.157,209715
branchless,grouped,5,2048,2048,5,3.258,209715
branchless,grouped,5,2048,2048,6,3.165,209715
branchless,grouped,5,2048,2048,7,3.131,209715
branchless,grouped,5,2048,2048,8,3.139,209715
branchless,grouped,5,2048,2048,9,3.255,209715
branchless,grouped,50,2048,2048,1,3.172,2097152
branchless,grouped,50,2048,2048,2,3.149,2097152
branchless,grouped,50,2048,2048,3,3.070,2097152
branchless,grouped,50,2048,2048,4,3.159,2097152
branchless,grouped,50,2048,2048,5,3.136,2097152
branchless,grouped,50,2048,2048,6,3.116,2097152
branchless,grouped,50,2048,2048,7,3.101,2097152
branchless,grouped,50,2048,2048,8,3.209,2097152
branchless,grouped,50,2048,2048,9,3.190,2097152
branchless,grouped,95,2048,2048,1,3.187,3984588
branchless,grouped,95,2048,2048,2,3.214,3984588
branchless,grouped,95,2048,2048,3,3.118,3984588
branchless,grouped,95,2048,2048,4,3.181,3984588
branchless,grouped,95,2048,2048,5,3.202,3984588
branchless,grouped,95,2048,2048,6,3.153,3984588
branchless,grouped,95,2048,2048,7,3.240,3984588
branchless,grouped,95,2048,2048,8,3.148,3984588
branchless,grouped,95,2048,2048,9,3.170,3984588
branchless,shuffled,5,2048,2048,1,3.050,209715
branchless,shuffled,5,2048,2048,2,3.007,209715
branchless,shuffled,5,2048,2048,3,3.065,209715
branchless,shuffled,5,2048,2048,4,3.071,209715
branchless,shuffled,5,2048,2048,5,3.067,209715
branchless,shuffled,5,2048,2048,6,3.065,209715
branchless,shuffled,5,2048,2048,7,3.068,209715
branchless,shuffled,5,2048,2048,8,3.268,209715
branchless,shuffled,5,2048,2048,9,3.095,209715
branchless,shuffled,50,2048,2048,1,3.020,2097152
branchless,shuffled,50,2048,2048,2,3.029,2097152
branchless,shuffled,50,2048,2048,3,3.007,2097152
branchless,shuffled,50,2048,2048,4,3.442,2097152
branchless,shuffled,50,2048,2048,5,3.100,2097152
branchless,shuffled,50,2048,2048,6,3.077,2097152
branchless,shuffled,50,2048,2048,7,3.075,2097152
branchless,shuffled,50,2048,2048,8,3.086,2097152
branchless,shuffled,50,2048,2048,9,3.073,2097152
branchless,shuffled,95,2048,2048,1,3.015,3984588
branchless,shuffled,95,2048,2048,2,3.024,3984588
branchless,shuffled,95,2048,2048,3,3.002,3984588
branchless,shuffled,95,2048,2048,4,3.066,3984588
branchless,shuffled,95,2048,2048,5,3.061,3984588
branchless,shuffled,95,2048,2048,6,2.999,3984588
branchless,shuffled,95,2048,2048,7,3.023,3984588
branchless,shuffled,95,2048,2048,8,3.064,3984588
branchless,shuffled,95,2048,2048,9,3.086,3984588
