optimization,width,height,run,time_ms,checksum
O0,64,64,1,0.481,1992.227
O0,64,64,2,0.448,1992.227
O0,64,64,3,0.466,1992.227
O0,64,64,4,0.504,1992.227
O0,64,64,5,0.447,1992.227
O0,64,64,6,0.464,1992.227
O0,64,64,7,0.497,1992.227
O0,64,64,8,0.235,1992.227
O0,64,64,9,0.235,1992.227
O0,181,181,1,1.921,16273.180
O0,181,181,2,1.880,16273.180
O0,181,181,3,1.878,16273.180
O0,181,181,4,1.875,16273.180
O0,181,181,5,1.879,16273.180
O0,181,181,6,1.881,16273.180
O0,181,181,7,1.875,16273.180
O0,181,181,8,1.884,16273.180
O0,181,181,9,1.872,16273.180
O0,1254,1254,1,32.120,785346.871
O0,1254,1254,2,32.303,785346.871
O0,1254,1254,3,32.296,785346.871
O0,1254,1254,4,32.326,785346.871
O0,1254,1254,5,32.303,785346.871
O0,1254,1254,6,32.216,785346.871
O0,1254,1254,7,31.896,785346.871
O0,1254,1254,8,32.205,785346.871
O0,1254,1254,9,32.223,785346.871
O0,2048,2048,1,87.083,2094949.056
O0,2048,2048,2,88.414,2094949.056
O0,2048,2048,3,87.535,2094949.056
O0,2048,2048,4,87.245,2094949.056
O0,2048,2048,5,89.445,2094949.056
O0,2048,2048,6,88.294,2094949.056
O0,2048,2048,7,87.560,2094949.056
O0,2048,2048,8,87.118,2094949.056
O0,2048,2048,9,86.898,2094949.056
O2,64,64,1,0.006,1992.227
O2,64,64,2,0.007,1992.227
O2,64,64,3,0.007,1992.227
O2,64,64,4,0.007,1992.227
O2,64,64,5,0.007,1992.227
O2,64,64,6,0.008,1992.227
O2,64,64,7,0.009,1992.227
O2,64,64,8,0.009,1992.227
O2,64,64,9,0.009,1992.227
O2,181,181,1,0.103,16273.180
O2,181,181,2,0.140,16273.180
O2,181,181,3,0.140,16273.180
O2,181,181,4,0.140,16273.180
O2,181,181,5,0.140,16273.180
O2,181,181,6,0.140,16273.180
O2,181,181,7,0.140,16273.180
O2,181,181,8,0.140,16273.180
O2,181,181,9,0.140,16273.180
O2,1254,1254,1,3.336,785346.871
O2,1254,1254,2,2.835,785346.871
