optimization,width,height,runs,median_ms,min_ms,max_ms
O0,64,64,9,0.464,0.235,0.504
O2,64,64,9,0.007,0.006,0.009
O3,64,64,9,0.003,0.002,0.008
O3-novec,64,64,9,0.008,0.006,0.009
O0,181,181,9,1.879,1.872,1.921
O2,181,181,9,0.140,0.103,0.140
O3,181,181,9,0.038,0.037,0.040
O3-novec,181,181,9,0.170,0.068,0.185
O0,1254,1254,9,32.223,31.896,32.326
O2,1254,1254,9,2.809,2.706,5.435
O3,1254,1254,9,0.598,0.576,0.617
O3-novec,1254,1254,9,2.881,2.706,3.299
O0,2048,2048,9,87.535,86.898,89.445
O2,2048,2048,9,8.216,8.047,10.374
O3,2048,2048,9,2.003,1.962,2.204
O3-novec,2048,2048,9,8.369,8.231,9.519
